source_id,source_name,iso3_country,subsector,status,available_land_km2,replaceable_heat_mwh_th,lat,lon,site,n_bands,n_rep_days,total_load_MW,S_opt_MW,solar_per_load_MWdc_per_MWth,storage_energy_MWh_total,LCOH_total_$perMWh,LCOH_served_$perMWh,LCOH_solar_$perMWh,LCOH_converter_$perMWh,LCOH_storage_$perMWh,Reliability_%,Unserved_MWh,met_availability_target,include_converter_cost,hp_load_MW,ihb_load_MW,solve_seconds,project_start_year
38480620,Agrana Zucker Gmbh,AUT,food-beverage-tobacco,ok,36.45453302204089,415349.8257482056,48.32478,16.038471,38480620,4,16,47.414363669886484,306.60630212209304,6.466527828081407,790.9262606812347,56.679631888633146,62.97736876514794,40.58973000376477,0.0,22.38763876138317,89.99999999999999,41534.98257482059,True,False,39.61243266234487,7.80193100754161,0.10753035545349121,2025
38479269,Eibetex,AUT,textiles-leather-apparel,ok,46.23470514471369,36576.016780724654,48.81547,15.2833,38479269,3,16,4.175344381361262,22.442045993482246,5.374897000990756,67.34345365767844,49.84565123505189,55.384056927835424,33.737675591661144,0.0,21.64638133617428,90.00000000000001,3657.6016780724603,True,False,3.7578099432251353,0.4175344381361262,0.10299801826477051,2025
38480613,Agrana Zucker Gmbh,AUT,food-beverage-tobacco,ok,43.270022798336754,415349.8257482056,48.243057,16.702778,38480613,4,16,47.414363669886484,271.7929462272825,5.732291339383766,774.6581099557221,52.11734594314241,57.908162159047116,35.981003090732706,0.0,21.927159068314413,90.00000000000001,41534.98257482052,True,False,39.61243266234487,7.80193100754161,0.127791166305542,2025
38480528,Bunge Austria Gmbh,AUT,food-beverage-tobacco,ok,36.42091645673013,415349.8257482056,48.022446,16.754778,38480528,4,16,47.414363669886484,272.2563428298406,5.742064677391302,774.6581099557221,52.172557556755955,57.96950839639551,36.042349328081094,0.0,21.927159068314417,89.99999999999999,41534.98257482059,True,False,39.61243266234487,7.80193100754161,0.14673304557800293,2025
38473498,Getzner Textil Ag,AUT,textiles-leather-apparel,ok,4.618969477575685,36576.016780724654,47.1518218,9.8236408,38473498,3,16,4.175344381361262,19.674209708107544,4.711996882444768,72.77151931690209,47.67107249231521,52.96785832479468,29.57671973612462,0.0,23.39113858867006,89.99999999999999,3657.601678072464,True,False,3.7578099432251353,0.4175344381361262,0.11835002899169922,2025
32437244,Gmunden Cement Plant,AUT,cement,ok,14.80172333164063,229825.04748563375,47.9225966590857,13.7778374280392,32437244,3,16,26.235736014341754,382.3937421023927,14.575300723157046,462.44219222279077,103.62954749471443,115.1439416607938,91.48766336510909,0.0,23.656278295684707,90.00000000000001,22982.50474856335,True,False,0.0,26.235736014341754,0.08640718460083008,2025
32437243,Gartenau Cement Plant,AUT,cement,ok,7.468797314325792,264883.38154878875,47.7235279928077,13.0492860026401,32437243,3,16,30.237828943925653,373.4398657162896,12.350088573118551,523.4885780658788,90.67952662120925,124.31399586357506,95.64634427861382,0.0,28.66765158496123,72.94394005379972,71667.0064993627,False,False,0.0,30.237828943925653,0.1858532428741455,2025
32267416,Austria,AUT,chemicals,ok,0.1034028660886277,286371.8740945338,47.6139487927463,14.076158884337072,32267416,3,16,32.69085320713857,5.1701433044313845,0.15815259613054095,2.419599973127587,0.9828377519973542,15.860877336284043,14.4181394943433,0.0,1.4427378419407428,6.196616562622115,268626.5071137006,False,False,22.883597244997,9.80725596214157,0.25154709815979004,2025
38479518,Heratex (#),AUT,textiles-leather-apparel,ok,0.9774050187327664,36576.016780724654,47.4596131,13.9909218,38479518,3,16,4.175344381361262,21.11970507889334,5.058194761891189,66.46567959104112,47.80260391561555,53.11400435068395,31.749768214101294,0.0,21.364236136582655,89.99999999999999,3657.601678072468,True,False,3.7578099432251353,0.4175344381361262,0.10455989837646484,2025
38472832,Hefel Textil Gmbh,AUT,textiles-leather-apparel,ok,16.49106055800039,36576.016780724654,48.4366178,14.5399221,38472832,3,16,4.175344381361262,28.18256216052582,6.749757525710402,70.93997454343781,58.65295866619332,65.16995407354814,42.367533681634306,0.0,22.802420391913838,89.99999999999999,3657.6016780724644,True,False,3.7578099432251353,0.4175344381361262,0.11683988571166992,2025
